gene_name,rank_at_k10,rank_at_k25,rank_at_k50,mean_rank,rank_range,rank_std,top_5_stability,top_10_stability,stability_warning,ranking_provenance
UL3,1.0,1.0,1.0,1.0,0.0,0.0,True,True,,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL10,3.0,3.0,2.0,2.6666666666666665,1.0,0.4714045207910317,True,True,,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL36,2.0,2.0,4.0,2.6666666666666665,2.0,0.9428090415820634,True,True,,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL20,9.0,6.0,7.0,7.333333333333333,3.0,1.247219128924647,False,True,,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL47,4.0,13.0,6.0,7.666666666666667,9.0,3.858612300930075,False,False,,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL18,10.0,5.0,11.0,8.666666666666666,6.0,2.6246692913372702,False,False,,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL11,8.0,11.0,8.0,9.0,3.0,1.4142135623730951,False,False,,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL19,7.0,8.0,12.0,9.0,5.0,2.160246899469287,False,False,,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL52,18.0,7.0,3.0,9.333333333333334,15.0,6.342099196813483,False,False,quota-sensitive ranking,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL46,6.0,20.0,10.0,12.0,14.0,5.887840577551898,False,False,quota-sensitive ranking,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL50,11.0,17.0,13.0,13.666666666666666,6.0,2.494438257849294,False,False,,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL12,13.0,18.0,21.0,17.333333333333332,8.0,3.299831645537222,False,False,,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL42,12.0,19.0,24.0,18.333333333333332,12.0,4.9216076867444665,False,False,quota-sensitive ranking,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL13,26.0,15.0,18.0,19.666666666666668,11.0,4.642796092394707,False,False,quota-sensitive ranking,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL29,23.0,27.0,9.0,19.666666666666668,18.0,7.71722460186015,False,False,quota-sensitive ranking,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL5,41.0,4.0,14.0,19.666666666666668,37.0,15.627610892974722,False,False,quota-sensitive ranking,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
US3,17.0,12.0,30.0,19.666666666666668,18.0,7.586537784494029,False,False,quota-sensitive ranking,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL14,29.0,16.0,16.0,20.333333333333332,13.0,6.128258770283412,False,False,quota-sensitive ranking,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL30,36.0,9.0,16.0,20.333333333333332,27.0,11.440668201153676,False,False,quota-sensitive ranking,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
