candidate_a,candidate_b,gene_a,gene_b,distance_bp,deletion_length_bp,joint_strain_coverage,pair_score,hypothesis_type,limitations,pair_provenance
VST-5e4034e33559c37a,VST-9cd67af4bd66d50a,UL3,UL47,,,1.0,0.9,multi_target_hypothesis,two separate target sites; not one physical deletion; requires independent validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-5e4034e33559c37a,VST-9cd67af4bd66d50a,UL3,UL46,,,1.0,0.9,multi_target_hypothesis,two separate target sites; not one physical deletion; requires independent validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-9cd67af4bd66d50a,VST-9cd67af4bd66d50a,UL47,UL46,,,1.0,0.9,multi_target_hypothesis,two separate target sites; not one physical deletion; requires independent validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-0bf1ec26dd4e63a9,VST-9cd67af4bd66d50a,UL52,UL47,,,1.0,0.8996368824306833,multi_target_hypothesis,two separate target sites; not one physical deletion; requires independent validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-0bf1ec26dd4e63a9,VST-9cd67af4bd66d50a,UL52,UL46,,,1.0,0.8996368824306833,multi_target_hypothesis,two separate target sites; not one physical deletion; requires independent validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-1ab6bcde24624e54,VST-9cd67af4bd66d50a,UL3,UL47,,,1.0,0.8996368824306833,multi_target_hypothesis,two separate target sites; not one physical deletion; requires independent validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-1ab6bcde24624e54,VST-9cd67af4bd66d50a,UL3,UL46,,,1.0,0.8996368824306833,multi_target_hypothesis,two separate target sites; not one physical deletion; requires independent validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-2197f2e713f87ca5,VST-9cd67af4bd66d50a,UL52,UL47,,,1.0,0.8996368824306833,multi_target_hypothesis,two separate target sites; not one physical deletion; requires independent validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-2197f2e713f87ca5,VST-9cd67af4bd66d50a,UL52,UL46,,,1.0,0.8996368824306833,multi_target_hypothesis,two separate target sites; not one physical deletion; requires independent validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-240e20eb666f9c85,VST-9cd67af4bd66d50a,UL30,UL46,,,1.0,0.8996368824306833,multi_target_hypothesis,two separate target sites; not one physical deletion; requires independent validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-2b3568cdc187cc3a,VST-9cd67af4bd66d50a,UL10,UL47,,,1.0,0.8996368824306833,multi_target_hypothesis,two separate target sites; not one physical deletion; requires independent validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-2b3568cdc187cc3a,VST-9cd67af4bd66d50a,UL10,UL46,,,1.0,0.8996368824306833,multi_target_hypothesis,two separate target sites; not one physical deletion; requires independent validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-39b8e81a7d803f8e,VST-9cd67af4bd66d50a,UL50,UL46,,,1.0,0.8996368824306833,multi_target_hypothesis,two separate target sites; not one physical deletion; requires independent validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-3a05e8146637b989,VST-9cd67af4bd66d50a,UL52,UL47,,,1.0,0.8996368824306833,multi_target_hypothesis,two separate target sites; not one physical deletion; requires independent validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-3a05e8146637b989,VST-9cd67af4bd66d50a,UL52,UL46,,,1.0,0.8996368824306833,multi_target_hypothesis,two separate target sites; not one physical deletion; requires independent validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-49e236e977152335,VST-9cd67af4bd66d50a,UL3,UL47,,,1.0,0.8996368824306833,multi_target_hypothesis,two separate target sites; not one physical deletion; requires independent validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
