gene_name	virus_type	reference_accession	evidence_category	essentiality_call	essentiality_score	evidence_strength	experimental_system	finding	source_identifier	source_title	source_url	directness_notes
UL3	HSV-1	NC_001806.2	gene_function	unknown		indirect	infected-cell protein characterization	UL3 encodes a nuclear phosphoprotein with alternative translation initiation and post-translational forms.	PMID:10482549	The UL3 protein of herpes simplex virus 1 is translated predominantly from the second in-frame methionine codon and is subject to at least two posttranslational modifications	https://pubmed.ncbi.nlm.nih.gov/10482549/	The paper characterizes protein products; this row does not infer essentiality.
UL3	HSV-1	NC_001806.2	null_mutant	nonessential_in_tested_cell_culture	0.0	direct	UL3-negative recombinant virus in cultured cells	The study used a UL3-negative HSV-1 mutant and identifies UL3 among open reading frames dispensable for HSV-1 replication in cell culture.	PMID:10482549	The UL3 protein of herpes simplex virus 1 is translated predominantly from the second in-frame methionine codon and is subject to at least two posttranslational modifications	https://pubmed.ncbi.nlm.nih.gov/10482549/	Direct HSV-1 mutant evidence; it does not establish HSV-2 essentiality or in vivo dispensability.
UL10	HSV-1	NC_001806.2	null_mutant	nonessential_in_tested_cell_culture	0.0	direct	deletion mutant in tissue culture and mouse model	A deletion mutant grew in tissue culture with slightly lower yields but was impaired in peripheral and nervous-system spread in mice.	PMID:8389812	Characterization of the UL10 gene product of herpes simplex virus type 1 and investigation of its role in vivo	https://pubmed.ncbi.nlm.nih.gov/8389812/	Direct HSV-1 deletion evidence; not direct HSV-2 evidence.
UL18	HSV-2	strain_333	knockdown	unknown		direct	siRNA knockdown in cultured cells	UL18 knockdown reduced HSV-2/333 replication; knockdown does not establish null-mutant essentiality.	PMID:24794394	Silencing herpes simplex virus type 1 capsid protein encoding genes by siRNA: a promising antiviral therapeutic approach	https://pubmed.ncbi.nlm.nih.gov/24794394/	Direct HSV-2 phenotype, but essentiality remains unknown because this was knockdown rather than a null mutant.
UL19	HSV-2	strain_333	knockdown	unknown		direct	siRNA knockdown in cultured cells	UL19 knockdown reduced HSV-2/333 replication; knockdown does not establish null-mutant essentiality.	PMID:24794394	Silencing herpes simplex virus type 1 capsid protein encoding genes by siRNA: a promising antiviral therapeutic approach	https://pubmed.ncbi.nlm.nih.gov/24794394/	Direct HSV-2 phenotype, but essentiality remains unknown because this was knockdown rather than a null mutant.
UL18	HSV-1	NC_001806.2	capsid_assembly	supported_essential	1.0	supporting	procapsid isolation and structural analysis	VP23/UL18 is described among the four essential capsid proteins in the HSV-1 procapsid.	PMID:10644336	Isolation of herpes simplex virus procapsids from cells infected with a protease-deficient mutant virus	https://pubmed.ncbi.nlm.nih.gov/10644336/	HSV-1 supporting evidence; not a gene-specific null-mutant experiment in this paper.
UL19	HSV-1	NC_001806.2	capsid_assembly	supported_essential	1.0	supporting	procapsid isolation and structural analysis	VP5/UL19 is described among the four essential capsid proteins in the HSV-1 procapsid.	PMID:10644336	Isolation of herpes simplex virus procapsids from cells infected with a protease-deficient mutant virus	https://pubmed.ncbi.nlm.nih.gov/10644336/	HSV-1 supporting evidence; not a gene-specific null-mutant experiment in this paper.
UL20	HSV-1	NC_001806.2	null_mutant	conditional_or_strong_defect	0.75	direct	UL20-null recombinant virus in Vero cells	UL20-null virus showed a cytoplasmic envelopment defect and replicated with a strong impaired phenotype rather than an unqualified lethal call.	PMID:17215291	UL20 protein functions precede and are required for the UL11 functions of herpes simplex virus type 1 cytoplasmic virion envelopment	https://pubmed.ncbi.nlm.nih.gov/17215291/	Direct HSV-1 null-mutant phenotype; the score is conditional and is not transferred to HSV-2.
UL36	HSV-1	NC_001806.2	null_mutant	supported_essential	1.0	direct	complemented null mutant and noncomplementing cells	UL36-null virus required complementing cells; noncomplementing cells accumulated unenveloped DNA-filled capsids and failed maturation/egress.	PMID:11090159	A null mutation in the UL36 gene of herpes simplex virus type 1 results in accumulation of unenveloped DNA-filled capsids in the cytoplasm of infected cells	https://pubmed.ncbi.nlm.nih.gov/11090159/	Direct HSV-1 null-mutant evidence; not direct HSV-2 evidence.
UL52	HSV-1	NC_001806.2	functional_mutagenesis	supported_required_for_DNA_replication	0.9	direct	mutational replication assay and purified enzyme assay	Conserved-region substitutions failed to support origin-dependent DNA replication; a catalytic substitution abolished primase activity.	PMID:8189507	Helicase-primase complex of herpes simplex virus type 1: a mutation in the UL52 subunit abolishes primase activity	https://pubmed.ncbi.nlm.nih.gov/8189507/	Direct HSV-1 functional mutagenesis, not a full-gene null mutant and not direct HSV-2 evidence.
UL53	HSV-1	NC_001806.2	null_mutant	nonessential_in_actively_replicating_cells	0.0	direct	gK-null viruses in replicating and stationary cultured cells	gK-null virus produced infectious virus in actively replicating cells but showed major egress defects and about 100000-fold lower yield in stationary cells.	PMID:9188566	Herpes simplex virus type 1 glycoprotein K is not essential for infectious virus production in actively replicating cells but is required for efficient envelopment and translocation	https://pubmed.ncbi.nlm.nih.gov/9188566/	Direct HSV-1 context-dependent null-mutant evidence; not direct HSV-2 evidence.
UL30	HSV-1	NC_001806.2	functional_mutagenesis	supported_essential	1.0	direct	truncation mutants and origin-dependent DNA replication assay	C-terminal UL30 sequences required for UL42 interaction were required for origin-dependent viral DNA replication despite retained polymerase activity on an activated template.	PMID:8382792	Sequences at the C-terminus of the herpes simplex virus type 1 UL30 protein are dispensable for DNA polymerase activity but not for viral origin-dependent DNA replication	https://pubmed.ncbi.nlm.nih.gov/8382792/	Direct HSV-1 functional mutagenesis; not a whole-gene null and not direct HSV-2 evidence.
