query_id	gene_name	query_family	evidence_scope	query_text
Q-c30e0c09c823580c	UL10	essentiality	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p66"" OR ""UL10"" OR ""envelope glycoprotein M"") AND (""deletion mutant"" OR ""null mutant"" OR ""knockout"" OR ""essential"" OR ""replication"")"
Q-8b1b483e669d1beb	UL10	immune_evasion	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p66"" OR ""UL10"" OR ""envelope glycoprotein M"") AND (""interferon"" OR ""immune evasion"" OR ""cGAS"" OR ""STING"")"
Q-8b1fb5b093adf1e6	UL10	latency_reactivation	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p66"" OR ""UL10"" OR ""envelope glycoprotein M"") AND (""latency"" OR ""reactivation"" OR ""latent infection"")"
Q-11578f1e45eb079c	UL10	gene_function	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p66"" OR ""UL10"" OR ""envelope glycoprotein M"") AND (""function"" OR ""protein"" OR ""mutagenesis"" OR ""interaction"")"
Q-f4282417f99bc09b	UL10	essentiality	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p66"" OR ""UL10"" OR ""envelope glycoprotein M"") AND (""deletion mutant"" OR ""null mutant"" OR ""knockout"" OR ""essential"" OR ""replication"")"
Q-8e59e440aa233b0d	UL10	immune_evasion	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p66"" OR ""UL10"" OR ""envelope glycoprotein M"") AND (""interferon"" OR ""immune evasion"" OR ""cGAS"" OR ""STING"")"
Q-a450cfa7a1a79dd9	UL10	latency_reactivation	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p66"" OR ""UL10"" OR ""envelope glycoprotein M"") AND (""latency"" OR ""reactivation"" OR ""latent infection"")"
Q-406366ad588e6004	UL10	gene_function	ortholog	"(""HSV-1"" OR ""Herpes simplex virus 1"" OR ""Herpes simplex virus type 1"" OR ""Human alphaherpesvirus 1"" OR ""Human herpesvirus 1"") AND (""HHV2p66"" OR ""UL10"" OR ""envelope glycoprotein M"") AND (""function"" OR ""protein"" OR ""mutagenesis"" OR ""interaction"")"
Q-dc45c48316701510	UL18	essentiality	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p58"" OR ""UL18"" OR ""capsid triplex subunit 2"") AND (""deletion mutant"" OR ""null mutant"" OR ""knockout"" OR ""essential"" OR ""replication"")"
Q-92499b8a1a4bc807	UL18	immune_evasion	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p58"" OR ""UL18"" OR ""capsid triplex subunit 2"") AND (""interferon"" OR ""immune evasion"" OR ""cGAS"" OR ""STING"")"
Q-2b0146ed3bec5861	UL18	latency_reactivation	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p58"" OR ""UL18"" OR ""capsid triplex subunit 2"") AND (""latency"" OR ""reactivation"" OR ""latent infection"")"
Q-7a09fcf64b9ebd56	UL18	gene_function	direct_target_virus	"(""HSV-2"" OR ""Herpes simplex virus 2"" OR ""Herpes simplex virus type 2"" OR ""Human alphaherpesvirus 2"" OR ""Human herpesvirus 2"") AND (""HHV2p58"" OR ""UL18"" OR ""capsid triplex subunit 2"") AND (""function"" OR ""protein"" OR ""mutagenesis"" OR ""interaction"")"
