gene_name,feature_id,feature_type,gene_length_bp,eligible_candidate_count,screened_candidate_count,screening_fraction,clean_candidate_count,expert_review_candidate_count,failed_or_missing_count,clean_fraction,clean_fraction_wilson_lower_95,candidate_density_per_kb,conserved_candidate_count,conserved_candidate_fraction,exact_all_accepted_genomes_count,best_candidate_id,best_candidate_rank,best_candidate_score,median_top_5_candidate_rank,median_top_10_candidate_rank,worst_top_5_rank,median_human_hit_count,one_mismatch_candidate_count,two_mismatch_candidate_count,three_mismatch_candidate_count,tool_coverage,rank_variance,evidence_coverage,biological_evidence_status,confidence_level,best_candidate_component,top5_robustness_component,clean_fraction_component,human_burden_component,conservation_component,targetability_score,best_single_candidate_rank,top5_robustness_rank,clean_fraction_rank,targetability_rank,targetability_explanation,ranking_provenance
UL3,HHV2p73,gene,742,112,112,1.0,24,88,0,0.21428571428571427,0.1484406835400534,150.9433962264151,112,1.0,112,VST-5e4034e33559c37a,2.0,0.85,24.0,44.0,38.0,2.0,3,14,88,1.0,4710.8099999999995,,biological evidence not supplied,high,0.9871794871794872,0.9871794871794872,0.9487179487179487,0.9871794871794872,0.5,0.8820512820512821,2.0,2.0,5.0,1.0,"Rank-aggregated computational targetability from within-view percentiles; screened=112, eligible=112, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL10,HHV2p66,gene,1426,241,241,1.0,47,194,0,0.1950207468879668,0.1499462795448071,169.00420757363256,241,1.0,241,VST-2b3568cdc187cc3a,14.0,0.84891064729205,103.0,170.0,163.0,3.0,2,63,193,1.0,10644.85,,biological evidence not supplied,high,0.8461538461538461,0.782051282051282,0.9615384615384616,0.9358974358974359,0.5,0.8051282051282052,13.0,18.0,4.0,2.0,"Rank-aggregated computational targetability from within-view percentiles; screened=241, eligible=241, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL52,HHV2p22,gene,4440,618,618,1.0,89,529,0,0.14401294498381878,0.11852881107373653,139.18918918918916,618,1.0,618,VST-0bf1ec26dd4e63a9,4.0,0.84891064729205,21.0,129.5,119.0,4.0,3,136,524,1.0,6024.6,,biological evidence not supplied,high,0.9487179487179487,1.0,0.8333333333333334,0.6987179487179487,0.5,0.7961538461538462,5.0,1.0,14.0,3.0,"Rank-aggregated computational targetability from within-view percentiles; screened=618, eligible=618, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL47,HHV2p28,gene,4412,726,726,1.0,102,624,0,0.14049586776859505,0.11710620468364796,164.55122393472348,726,1.0,726,VST-9cd67af4bd66d50a,3.0,0.85,41.0,58.5,53.0,4.0,9,162,622,1.0,2904.69,,biological evidence not supplied,high,0.967948717948718,0.9102564102564102,0.7948717948717949,0.6987179487179487,0.5,0.7743589743589745,3.0,8.0,17.0,4.0,"Rank-aggregated computational targetability from within-view percentiles; screened=726, eligible=726, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL11,HHV2p62,gene,292,41,41,1.0,14,27,0,0.34146341463414637,0.2155880825738485,140.4109589041096,41,1.0,41,VST-b3c226e1dbf82116,77.0,0.84891064729205,115.0,913.5,869.0,1.0,2,8,27,1.0,343981.44,,biological evidence not supplied,high,0.3782051282051282,0.7371794871794872,1.0,1.0,0.5,0.7230769230769231,48.0,21.0,1.0,5.0,"Rank-aggregated computational targetability from within-view percentiles; screened=41, eligible=41, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL50,HHV2p24,gene,1152,225,225,1.0,37,188,0,0.16444444444444445,0.12172189060376272,195.31250000000003,225,1.0,225,VST-39b8e81a7d803f8e,20.0,0.84891064729205,168.0,222.0,213.0,3.0,3,47,188,1.0,10118.41,,biological evidence not supplied,high,0.7692307692307692,0.5,0.8717948717948718,0.9358974358974359,0.5,0.7153846153846153,19.0,40.0,11.0,6.0,"Rank-aggregated computational targetability from within-view percentiles; screened=225, eligible=225, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL33,HHV2p42,gene,1833,302,302,1.0,51,250,0,0.16887417218543047,0.13084071835487704,164.75722858701582,302,1.0,302,VST-60775d923bdf2965,39.0,0.84891064729205,159.0,254.0,239.0,3.0,2,56,251,1.0,9913.65,,biological evidence not supplied,high,0.6538461538461539,0.5256410256410257,0.9230769230769231,0.9358974358974359,0.5,0.7076923076923076,28.0,38.0,7.0,7.0,"Rank-aggregated computational targetability from within-view percentiles; screened=302, eligible=302, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL30,HHV2p45,gene,3762,598,598,1.0,73,525,0,0.12207357859531773,0.09822028642343533,158.95800106326422,598,1.0,598,VST-240e20eb666f9c85,12.0,0.84891064729205,66.0,119.5,74.0,4.0,6,150,521,1.0,9401.81,,biological evidence not supplied,high,0.8717948717948718,0.8717948717948718,0.5897435897435898,0.6987179487179487,0.5,0.7064102564102563,11.0,11.0,33.0,8.0,"Rank-aggregated computational targetability from within-view percentiles; screened=598, eligible=598, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL46,HHV2p29,gene,2237,345,345,1.0,39,306,0,0.11304347826086956,0.08380426184942608,154.224407688869,345,1.0,345,VST-9cd67af4bd66d50a,3.0,0.85,53.0,171.5,158.0,4.0,5,85,305,1.0,16739.96,,biological evidence not supplied,high,0.967948717948718,0.8846153846153846,0.47435897435897434,0.6987179487179487,0.5,0.7051282051282051,3.0,10.0,42.0,9.0,"Rank-aggregated computational targetability from within-view percentiles; screened=345, eligible=345, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
UL15,HHV2p61,gene,5861,986,986,1.0,128,856,0,0.12981744421906694,0.11026676470798354,168.2306773588125,986,1.0,986,VST-1a03de7ffb16fbb6,8.0,0.84891064729205,31.0,172.5,156.0,5.0,20,270,854,1.0,10574.01,,biological evidence not supplied,high,0.8846153846153846,0.9358974358974359,0.7435897435897436,0.33333333333333337,0.5,0.6794871794871795,10.0,6.0,21.0,10.0,"Rank-aggregated computational targetability from within-view percentiles; screened=986, eligible=986, confidence=high. Biological evidence is reported separately and is not added to this score.",${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
