gene_name,mapped_guide_count,median_relative_protein_position,median_frameshift_hypothesis_fraction,guides_with_determinable_premature_stop,guides_cutting_annotated_domain,guides_cutting_annotated_disorder,guides_in_annotated_conserved_region,summary_scope
UL10,20,0.8736616702355461,0.7,20,11,3,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL11,17,0.65625,0.7,17,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL12,6,0.9653225806451613,0.7,6,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL13,2,0.8803088803088803,0.7,2,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL15,20,3.181293302540416,0.7,2,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL17,10,0.5754985754985755,0.7,10,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL18,3,0.1918238993710692,0.7,3,3,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL19,2,0.4992721979621543,0.7,2,2,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL20,2,0.5743243243243243,0.7,2,2,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL21,1,0.21428571428571427,0.7,1,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL22,1,0.42601431980906923,0.7,1,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL23,1,0.8882978723404256,0.7,1,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL26,1,0.4850863422291994,0.7,1,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL26.5,1,0.00303951367781155,0.7,1,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL27,1,0.8893805309734514,0.7,1,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL28,1,0.870063694267516,0.7,1,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL29,2,0.6346153846153846,0.7,2,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL3,20,0.3716216216216216,0.7,20,10,10,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL30,20,0.3842741935483871,0.7,20,16,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL31,1,0.8852459016393442,0.7,1,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL33,7,0.2153846153846154,0.7,7,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL34,9,0.2572463768115942,0.7,8,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL35,3,0.8214285714285714,0.7,3,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL36,7,0.6018577834721333,0.7,7,7,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL37,1,0.28186714542190305,0.7,1,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL39,1,0.6401050788091068,0.7,1,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL4,1,0.39800995024875624,0.7,1,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
UL40,1,1.002967359050445,0.7,0,0,0,0,Descriptive aggregation only; no biological importance or therapeutic priority is inferred.
