review_id,gene,target_virus,evidence_virus_in_table,source_identifier,source_url,claim_or_finding,review_issue,status,reviewer_name,review_date,source_checked,decision,approved_or_edited_wording
EVID-001,UL3,HSV-2,HSV-1,PMID:10482549,https://pubmed.ncbi.nlm.nih.gov/10482549/,UL3 encodes a nuclear phosphoprotein with alternative translation initiation and post-translational forms.,"Verify tested virus, experimental design, phenotype and bounded manuscript wording.",pending,,,,,
EVID-002,UL3,HSV-2,HSV-1,PMID:10482549,https://pubmed.ncbi.nlm.nih.gov/10482549/,The study used a UL3-negative HSV-1 mutant and identifies UL3 among open reading frames dispensable for HSV-1 replication in cell culture.,"Verify tested virus, experimental design, phenotype and bounded manuscript wording.",pending,,,,,
EVID-003,UL10,HSV-2,HSV-1,PMID:8389812,https://pubmed.ncbi.nlm.nih.gov/8389812/,A deletion mutant grew in tissue culture with slightly lower yields but was impaired in peripheral and nervous-system spread in mice.,"Verify tested virus, experimental design, phenotype and bounded manuscript wording.",pending,,,,,
EVID-004,UL18,HSV-2,HSV-2,PMID:24794394,https://pubmed.ncbi.nlm.nih.gov/24794394/,UL18 knockdown reduced HSV-2/333 replication; knockdown does not establish null-mutant essentiality.,"CRITICAL: PubMed title identifies HSV-1, while the committed row labels virus_type HSV-2/strain_333. Resolve before any use.",pending,,,,,
EVID-005,UL19,HSV-2,HSV-2,PMID:24794394,https://pubmed.ncbi.nlm.nih.gov/24794394/,UL19 knockdown reduced HSV-2/333 replication; knockdown does not establish null-mutant essentiality.,"CRITICAL: PubMed title identifies HSV-1, while the committed row labels virus_type HSV-2/strain_333. Resolve before any use.",pending,,,,,
EVID-006,UL18,HSV-2,HSV-1,PMID:10644336,https://pubmed.ncbi.nlm.nih.gov/10644336/,VP23/UL18 is described among the four essential capsid proteins in the HSV-1 procapsid.,"Verify tested virus, experimental design, phenotype and bounded manuscript wording.",pending,,,,,
EVID-007,UL19,HSV-2,HSV-1,PMID:10644336,https://pubmed.ncbi.nlm.nih.gov/10644336/,VP5/UL19 is described among the four essential capsid proteins in the HSV-1 procapsid.,"Verify tested virus, experimental design, phenotype and bounded manuscript wording.",pending,,,,,
EVID-008,UL20,HSV-2,HSV-1,PMID:17215291,https://pubmed.ncbi.nlm.nih.gov/17215291/,UL20-null virus showed a cytoplasmic envelopment defect and replicated with a strong impaired phenotype rather than an unqualified lethal call.,"Verify tested virus, experimental design, phenotype and bounded manuscript wording.",pending,,,,,
EVID-009,UL36,HSV-2,HSV-1,PMID:11090159,https://pubmed.ncbi.nlm.nih.gov/11090159/,UL36-null virus required complementing cells; noncomplementing cells accumulated unenveloped DNA-filled capsids and failed maturation/egress.,"Verify tested virus, experimental design, phenotype and bounded manuscript wording.",pending,,,,,
EVID-010,UL52,HSV-2,HSV-1,PMID:8189507,https://pubmed.ncbi.nlm.nih.gov/8189507/,Conserved-region substitutions failed to support origin-dependent DNA replication; a catalytic substitution abolished primase activity.,"Verify tested virus, experimental design, phenotype and bounded manuscript wording.",pending,,,,,
EVID-011,UL53,HSV-2,HSV-1,PMID:9188566,https://pubmed.ncbi.nlm.nih.gov/9188566/,gK-null virus produced infectious virus in actively replicating cells but showed major egress defects and about 100000-fold lower yield in stationary cells.,"Verify tested virus, experimental design, phenotype and bounded manuscript wording.",pending,,,,,
EVID-012,UL30,HSV-2,HSV-1,PMID:8382792,https://pubmed.ncbi.nlm.nih.gov/8382792/,C-terminal UL30 sequences required for UL42 interaction were required for origin-dependent viral DNA replication despite retained polymerase activity on an activated template.,"Verify tested virus, experimental design, phenotype and bounded manuscript wording.",pending,,,,,
