candidate_a,candidate_b,gene_a,gene_b,distance_bp,deletion_length_bp,joint_strain_coverage,pair_score,hypothesis_type,limitations,pair_provenance
VST-5e4034e33559c37a,VST-1ab6bcde24624e54,UL3,UL3,63,63,1.0,0.8996368824306833,same_gene_deletion_hypothesis,theoretical cut-to-cut interval; requires independent and experimental validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-5e4034e33559c37a,VST-49e236e977152335,UL3,UL3,159,159,1.0,0.8996368824306833,same_gene_deletion_hypothesis,theoretical cut-to-cut interval; requires independent and experimental validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-5e4034e33559c37a,VST-4a5cae2eb79cff92,UL3,UL3,1,1,1.0,0.8996368824306833,same_gene_deletion_hypothesis,theoretical cut-to-cut interval; requires independent and experimental validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-5e4034e33559c37a,VST-5d9176551b6dbdfd,UL3,UL3,2,2,1.0,0.8996368824306833,same_gene_deletion_hypothesis,theoretical cut-to-cut interval; requires independent and experimental validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-5e4034e33559c37a,VST-7ac03d514962242a,UL3,UL3,257,257,1.0,0.8996368824306833,same_gene_deletion_hypothesis,theoretical cut-to-cut interval; requires independent and experimental validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-5e4034e33559c37a,VST-ba561bf9733fcc67,UL3,UL3,19,19,1.0,0.8996368824306833,same_gene_deletion_hypothesis,theoretical cut-to-cut interval; requires independent and experimental validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-5e4034e33559c37a,VST-ba5a29a851401a8e,UL3,UL3,33,33,1.0,0.8996368824306833,same_gene_deletion_hypothesis,theoretical cut-to-cut interval; requires independent and experimental validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-9cd67af4bd66d50a,VST-5b0c902d0b27748e,UL47,UL47,1,1,1.0,0.8996368824306833,same_gene_deletion_hypothesis,theoretical cut-to-cut interval; requires independent and experimental validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-9cd67af4bd66d50a,VST-5b0c902d0b27748e,UL46,UL46,1,1,1.0,0.8996368824306833,same_gene_deletion_hypothesis,theoretical cut-to-cut interval; requires independent and experimental validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
VST-9cd67af4bd66d50a,VST-673e398e74fcf10b,UL47,UL47,1685,1685,1.0,0.8996368824306833,same_gene_deletion_hypothesis,theoretical cut-to-cut interval; requires independent and experimental validation,${REPOSITORY_ROOT}/reports/hsv2_genome_wide_exhaustive/genome_wide_candidates_post_human.csv
